name,occurrences_in_calendar,category,priority,country,active
KondZilla,1,Outro,Média,,true
Jesse Owens,1,Outro,Média,,true
Priah Ferguson,1,Outro,Média,,true
Bokeem Woodbine,1,Outro,Média,,true
Flo Milli,1,Outro,Média,,true
Coolio,1,Outro,Média,,true
Tems,1,Outro,Média,,true
Zezé Motta,1,Outro,Média,,true
Jordyn Woods,1,Outro,Média,,true
Gary Coleman,1,Outro,Média,,true
Andre Holland,1,Outro,Média,,true
Ari Lennox,1,Outro,Média,,true
Lionel Richie,1,Outro,Média,,true
Ella Fitzgerald,1,Outro,Média,,true
Pocah,1,Outro,Média,,true
Marla Gibbs,1,Outro,Média,,true
Karol Conká,1,Outro,Média,,true
Tyler Perry,1,Outro,Média,,true
Brandy,1,Outro,Média,,true
Vinícius Júnior,1,Outro,Média,,true
Gladys Knight,1,Outro,Média,,true
Venus Williams,1,Outro,Média,,true
Larenz Tate,1,Outro,Média,,true
Gucci Mane,1,Outro,Média,,true
Kevin Hart,1,Outro,Média,,true
Usher,1,Outro,Média,,true
Shai Gilgeous-Alexander,1,Outro,Média,,true
Beyoncé,1,Outro,Média,,true
Wood Harris,1,Outro,Média,,true
KAROL CONKÁ,1,Outro,Média,,true
Maria Júlia Coutinho,1,Outro,Média,,true
Kamala Harris,1,Outro,Média,,true
Keenen Ivory Wayans,1,Outro,Média,,true
Jordan Calloway,1,Outro,Média,,true
Kayuá,1,Outro,Média,,true
Ty Dolla,1,Outro,Média,,true
Rebecca,1,Outro,Média,,true
Grace Jones,1,Outro,Média,,true
Quinta Brunson,1,Outro,Média,,true
Mos Def,1,Outro,Média,,true
Wiz Khalifa,1,Outro,Média,,true
Stevie Wonder,1,Outro,Média,,true
Snoop Dogg,1,Outro,Média,,true
Kevin Durant,1,Outro,Média,,true
Kelly McCreary,1,Outro,Média,,true
Danny Glover,1,Outro,Média,,true
Omar Epps,1,Outro,Média,,true
Ailton Graça,1,Outro,Média,,true
Juliana Paes,1,Outro,Média,,true
Malcolm David Kelley,1,Outro,Média,,true
Daniel Kaluuya,1,Outro,Média,,true
DDG,1,Outro,Média,,true
Lil Rel,1,Outro,Média,,true
James Avery,1,Outro,Média,,true
Bless Gagliasso,1,Outro,Média,,true
Ludacris,1,Outro,Média,,true
Marcelo Vieira,1,Outro,Média,,true
Rihanna,1,Outro,Média,,true
LeBron James,1,Outro,Média,,true
6lack,1,Outro,Média,,true
Lil Yachty,1,Outro,Média,,true
Wesley Snipes,1,Outro,Média,,true
Ronaldinho Gaúcho,1,Outro,Média,,true
Bukayo Saka,1,Outro,Média,,true
Jéssica Ellen,1,Outro,Média,,true
Juliana Alves de Oliveira,1,Outro,Média,,true
Anthony Anderson,1,Outro,Média,,true
Olamide,1,Outro,Média,,true
Normani,1,Outro,Média,,true
Julia Olliver,1,Outro,Média,,true
Forest Whitaker,1,Outro,Média,,true
Samira Denise Wiley,1,Outro,Média,,true
Talia Jackson,1,Outro,Média,,true
Anderson Paak,1,Outro,Média,,true
Aldis Hodge,1,Outro,Média,,true
Naturi Naughton,1,Outro,Média,,true
Massaro Ncuti Gatwa,1,Outro,Média,,true
Toni Braxton,1,Outro,Média,,true
Usain Bolt,1,Outro,Média,,true
Mae Jemison,1,Outro,Média,,true
Madam C.J. Walker,1,Outro,Média,,true
Malia Ann Obama,1,Outro,Média,,true
Mary J. Blige,1,Outro,Média,,true
Ja Morant,1,Outro,Média,,true
Mc Dricka,1,Outro,Média,,true
Lucky Daye,1,Outro,Média,,true
Malcolm X,1,Outro,Média,,true
Marlon Wayans,1,Outro,Média,,true
Solange Knowles,1,Outro,Média,,true
Gloria Gaynor,1,Outro,Média,,true
Manute Bol,1,Outro,Média,,true
Sheryl Lee Ralph,1,Outro,Média,,true
Corbin Bleu,1,Outro,Média,,true
Drake,1,Outro,Média,,true
Travis Scott,1,Outro,Média,,true
Chris Paul,1,Outro,Média,,true
Jennifer Hudson,1,Outro,Média,,true
Bresha Webb,1,Outro,Média,,true
Meagan Yvonne Tandy,1,Outro,Média,,true
Rincon Sapiência,1,Outro,Média,,true
Jay Pharoah,1,Outro,Média,,true
Lil Wayne,1,Outro,Média,,true
La La Anthony,1,Outro,Média,,true
Mariah Carey,1,Outro,Média,,true
Joel Embiid,1,Outro,Média,,true
Gina Torres,1,Outro,Média,,true
Emicida,1,Outro,Média,,true
Sojaboy,1,Outro,Média,,true
Gabriel Jesus,1,Outro,Média,,true
Lil Nas X,1,Outro,Média,,true
Margareth Menezes,1,Outro,Média,,true
Noah Lyles,1,Outro,Média,,true
Damian Lillard,1,Outro,Média,,true
Ernest Lee Thomas,1,Outro,Média,,true
Zoë Kravitz,1,Outro,Média,,true
Sadio Mané,1,Outro,Média,,true
Magic Johnson,1,Outro,Média,,true
Muhammad Ali,1,Outro,Média,,true
Zoe Saldaña,1,Outro,Média,,true
Clara Moneke,1,Outro,Média,,true
Giancarlo Giuseppe Alessandro Esposito,1,Outro,Média,,true
Fernanda Garay Rodrigues,1,Outro,Média,,true
Camila Pitanga,1,Outro,Média,,true
Seu Jorge,1,Outro,Média,,true
Giveon,1,Outro,Média,,true
Young Thug,1,Outro,Média,,true
Coi Leray,1,Outro,Média,,true
Takeoff (1994-2022),1,Outro,Média,,true
Kirk Franklin,1,Outro,Média,,true
